timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
300610248.0,0.0605,0.0913,-0.6792,11.82,112.004,2.182,33.053119267127784,-19.801133602218655,-47.651182539998985
300623248.0,0.1313,0.0674,-0.8755,23.783,99.736,5.906,36.206523425939544,-18.305771836021673,-47.57161642999898
300636248.0,0.0791,0.0796,-1.0537,28.971,100.773,8.347,39.36459662960342,-16.742636925985025,-47.460317319998985
300649248.0,0.1089,0.0854,-1.2388,39.225,100.346,10.422,42.59767451272233,-15.230826039186823,-47.32204320999899
300662248.0,0.1279,0.0908,-1.3677,41.3,101.261,8.835,45.79543379652577,-13.743970325916935,-47.204400099998985
300675248.0,0.1143,0.1577,-1.6255,36.539,113.835,6.577,48.83372161543776,-12.100113174406406,-47.11611098999899
300688248.0,0.1191,0.1855,-1.686,27.262,122.013,7.554,51.678307525782,-10.385206150731644,-47.01512087999899
300701248.0,0.0908,0.2036,-1.6938,28.483,109.501,8.225,54.47004520203743,-8.844602288093174,-46.90540776999899
300714248.0,0.1382,0.1562,-1.728,30.619,103.337,11.948,57.26694306078844,-7.443489264558241,-46.74729565999899
300727248.0,0.1187,0.1489,-1.7041,38.553,94.059,12.192,60.11241112964346,-6.176907076660884,-46.58601154999899
300740248.0,0.1523,0.1494,-1.6904,33.365,65.495,10.422,62.83373309537719,-5.322740658984543,-46.447737439998996
300753248.0,0.147,0.1543,-1.7637,19.022,15.69,6.455,65.31891642916075,-5.112533406253885,-46.36103432999899
300766248.0,0.2788,0.1572,-2.0298,0.651,-35.396,8.042,67.53177728918124,-5.618393358739907,-46.253700219999
300779248.0,0.3857,0.2134,-2.25,-28.585,-22.396,7.309,69.30812454915917,-5.986252502390025,-46.155895109998994
300792248.0,0.4971,0.1699,-2.4141,-36.886,7.939,8.591,70.97103499862135,-5.998744974450274,-46.041423999999
300805248.0,0.4692,0.2192,-2.4702,-39.51,13.066,12.253,72.54635186782089,-5.927794523901928,-45.879346889999
300818248.0,0.5005,0.2148,-2.5142,-46.957,17.521,11.521,73.99904411292061,-5.811607641173472,-45.726785779999
300831248.0,0.4478,0.1846,-2.4556,-46.346,14.225,7.554,75.44214788183471,-5.721486433366181,-45.625795669999
300844248.0,0.3691,0.1792,-2.3008,-37.863,-1.156,6.394,76.9613746882119,-5.804730626013607,-45.539885559999
300857248.0,0.3125,0.1436,-2.1436,-25.533,-22.518,3.769,78.61972158078362,-6.142245818421618,-45.488100449999
300870248.0,0.2144,0.145,-1.9609,-18.392,-48.763,1.999,80.32794684318574,-6.766310395325229,-45.459325339999005
300883248.0,0.1162,0.1255,-1.7876,-13.754,-73.482,2.732,82.06535903394362,-7.642556570594561,-45.421021229999006
300896248.0,0.043,0.1172,-1.5938,-10.885,-94.173,4.258,83.8007787973375,-8.72150517459099,-45.36287911999901
300909248.0,0.0127,0.1299,-1.4438,-10.824,-115.108,6.516,85.48355853101023,-10.02480004494064,-45.27538300999901
300922248.0,0.0278,0.0913,-1.3398,-18.82,-133.602,7.309,87.05566854615567,-11.551322264572912,-45.17757789999901
300935248.0,0.0132,0.0986,-1.231,-23.519,-146.358,6.089,88.52284898940069,-13.198354807584847,-45.09563278999901
300948248.0,-0.0337,0.0854,-1.0889,-28.646,-153.316,7.615,89.89726924505636,-14.85349889869563,-44.99384967999901
300961248.0,-0.0376,0.0503,-1.0308,-34.445,-152.095,7.248,91.20413687203857,-16.45359845974791,-44.89683756999901
300974248.0,0.0093,0.0239,-1.0063,-39.022,-144.527,4.319,92.45521834185075,-17.977597601454743,-44.83790245999901
300987248.0,0.0454,0.0522,-0.8101,-43.661,-133.785,-3.799,93.57565129181339,-19.38769700395333,-44.884501349999006
301000248.0,0.0049,0.021,-0.7114,-35.97,-114.254,-8.132,94.81157900241757,-20.46463845237513,-44.987429239999
301013248.0,0.0474,0.0127,-0.604,-26.754,-106.441,-15.274,96.14992572345726,-21.502338275931752,-45.183203129999
301026248.0,0.1177,-0.0508,-0.5757,-29.928,-105.587,-24.185,90.34601461343613,-22.64890352132952,-45.494820019999004
301039248.0,0.0488,-0.0645,-0.437,-25.228,-99.788,-33.157,84.7851265057457,-23.594516888885426,-45.92307290999901
301052248.0,-0.041,-0.0439,-0.3315,-23.336,-95.455,-29.861,79.34251246275576,-24.200130671057988,-46.308477799999004
301065248.0,-0.0605,-0.0503,-0.248,-19.796,-84.652,-22.109,74.13228345975214,-24.52688314421109,-46.593106689999004
301078248.0,-0.0605,-0.0142,-0.1431,-19.003,-76.412,-10.33,68.92039452486888,-24.554700087027864,-46.72460857999901
301091248.0,0.0483,-0.0264,-0.1079,-16.866,-72.567,-0.808,64.00159940812165,-25.459318572645753,-46.73232446999901
301104248.0,0.1777,-0.0186,-0.1362,-15.89,-67.745,0.657,59.0741726978174,-26.859921228224827,-46.72099535999901
301117248.0,0.2148,0.0059,-0.0903,-13.448,-62.008,-0.869,61.24611172729431,-28.45701323363109,-46.72950424999901
301130248.0,0.1929,0.0181,-0.0488,-8.688,-48.153,-2.456,63.10302166996913,-30.000551643329658,-46.758644139999014
301143248.0,0.0967,0.0068,0.0122,-3.683,-30.697,0.779,62.37624095447428,-31.428454145927024,-46.74572902999901
301156248.0,0.1343,0.0137,-0.022,-1.73,-2.254,1.877,64.06795827204272,-32.411359665209595,-46.71853991999901
301169248.0,0.209,0.0088,0.0366,-6.185,21.244,0.596,62.977705782844446,-33.08949209248363,-46.70800380999901
301182248.0,0.3066,0.0005,-0.0034,-9.115,48.222,-2.517,65.03422413866691,-33.60172047841701,-46.73793669999901
