t,ax,ay,az,gx,gy,gz
25699244.0,-0.0205,0.0029,-1.064,0.034,-0.151,0.771
25712244.0,-0.0215,0.0049,-1.0645,-0.027,-0.395,0.71
25725244.0,-0.0215,0.0059,-1.0591,0.218,-0.09,0.893
25738244.0,-0.0215,-0.0005,-1.0674,-0.027,-0.09,0.588
25751244.0,-0.0205,0.001,-1.063,-0.088,-0.212,0.771
25764244.0,-0.0176,0.0024,-1.0615,-0.027,-0.09,0.649
25777244.0,-0.0205,0.001,-1.062,-0.149,0.215,0.771
25790244.0,-0.0195,0.0024,-1.0649,-0.088,0.032,0.771
25803244.0,-0.0176,0.0005,-1.0615,-0.088,-0.029,0.71
25816244.0,-0.0195,0.0044,-1.0635,0.034,-0.151,0.649
25829244.0,-0.0225,0.0034,-1.062,0.095,-0.151,0.527
25842244.0,-0.0166,0.0029,-1.0635,0.156,0.032,0.344
25855244.0,-0.0176,0.0005,-1.0674,-0.027,-0.212,0.771
25868244.0,-0.0186,-0.001,-1.0654,-0.088,-0.151,0.649
25881244.0,-0.0166,0.0024,-1.0571,-0.149,0.093,0.649
25894244.0,-0.02,0.0049,-1.0635,-0.271,-0.029,0.527
25907244.0,-0.0181,0.0044,-1.0596,-0.21,-0.273,0.466
25920244.0,-0.021,0.0034,-1.063,-0.027,0.093,0.527
25933244.0,-0.0181,0.0044,-1.0698,-0.149,0.032,0.588
25946244.0,-0.0239,0.0034,-1.0635,0.156,-0.09,0.649
25959244.0,-0.0166,0.0068,-1.0635,0.034,0.032,0.649
25972244.0,-0.0244,0.0044,-1.0669,-0.21,-0.151,0.832
25985244.0,-0.02,0.0024,-1.0615,0.279,0.032,0.588
25998244.0,-0.0186,0.0029,-1.0576,0.34,0.154,0.71
26011244.0,-0.0547,0.0083,-1.0063,-5.825,-4.851,0.71
26024244.0,-0.0356,0.0059,-1.0249,1.194,-0.395,0.588
26037244.0,-0.0249,0.001,-1.0522,-1.064,-0.761,0.832
26050244.0,-0.0229,0.0063,-1.0522,0.767,0.032,0.71
26063244.0,-0.0181,-0.0005,-1.0659,-0.271,0.581,0.527
26076244.0,-0.0176,-0.0024,-1.0693,0.095,0.52,0.588
26089244.0,-0.0156,0.0005,-1.0815,1.743,1.375,0.588
26102244.0,-0.0181,0.0015,-1.063,-0.271,0.093,0.588
26115244.0,-0.0205,-0.0029,-1.0698,0.645,0.154,0.588
26128244.0,-0.0156,0.0088,-1.0508,0.279,0.215,0.71
26141244.0,-0.0166,0.0098,-1.0601,-2.041,-0.151,0.405
26154244.0,-0.0508,0.041,-0.9917,-2.041,-0.639,0.527
26167244.0,-0.0176,0.0015,-1.0596,0.767,0.276,0.527
26180244.0,-0.0273,-0.001,-1.062,0.401,-0.334,0.71
