t,ax,ay,az,gx,gy,gz
791737245,0.0264,-0.0190,-1.2280,4.473,29.730,-10.865
791750245,0.0205,0.0635,-1.1587,4.656,37.603,-7.630
791763245,0.0098,0.0688,-1.0996,8.196,40.533,-1.770
791776245,0.0620,-0.0190,-1.1211,10.333,47.125,-8.362
791789245,0.0034,-0.0923,-1.1289,8.196,48.162,-11.658
791802245,-0.0542,-0.0684,-1.0703,-13.044,53.411,-16.236
791815245,-0.0332,-0.0029,-1.1138,-28.852,57.928,-20.386
791828245,-0.0361,-0.0244,-1.1719,-25.556,66.900,-20.813
791841245,-0.0479,-0.0024,-1.1626,-20.429,75.872,-20.325
791854245,-0.0322,0.0083,-1.1426,-19.147,84.905,-18.433
791867245,-0.1118,-0.0249,-1.0972,-26.105,89.605,-22.217
791880245,-0.1787,0.0254,-1.0410,-41.303,89.483,-21.057
791893245,-0.2124,0.0215,-1.0244,-53.266,90.582,-14.527
791906245,-0.2407,-0.0415,-1.1069,-54.243,93.084,-11.902
791919245,-0.2983,-0.0728,-1.0845,-50.947,98.394,-10.559
791932245,-0.2686,-0.0498,-1.0845,-44.904,105.901,-12.085
791945245,-0.2510,-0.0571,-1.0068,-44.111,104.254,-13.550
791958245,-0.2466,-0.1323,-1.0459,-42.646,105.901,-18.555
791971245,-0.2515,-0.1055,-1.0254,-46.735,106.695,-21.790
791984245,-0.2729,-0.0908,-0.9883,-51.618,106.268,-22.217
791997245,-0.3477,-0.0874,-0.8696,-59.675,101.507,-18.799
792010245,-0.3491,-0.0991,-0.9121,-67.182,99.798,-16.419
792023245,-0.3511,-0.1157,-0.9248,-68.036,94.366,-14.832
792036245,-0.3188,-0.2202,-0.9502,-56.684,88.751,-15.198
792049245,-0.3799,-0.1963,-0.9849,-38.740,83.807,-23.194
792062245,-0.4253,-0.1865,-0.9448,-25.312,87.103,-25.818
792075245,-0.4922,-0.0796,-0.9404,-31.965,89.361,-27.344
792088245,-0.4224,-0.1294,-0.9346,-45.637,89.788,-25.330
792101245,-0.4141,-0.1777,-0.8721,-49.726,95.464,-26.123
792114245,-0.3540,-0.2368,-0.8491,-43.561,78.680,-28.382
792127245,-0.4687,-0.2407,-0.8638,-36.420,66.900,-32.166
792140245,-0.5796,-0.1528,-0.7964,-33.552,67.510,-28.931
792153245,-0.5864,-0.1367,-0.8428,-28.730,64.459,-23.987
792166245,-0.5679,-0.2012,-0.8589,-26.105,65.679,-24.109
792179245,-0.5537,-0.2437,-0.8433,-20.429,64.764,-28.931
792192245,-0.5215,-0.2778,-0.8315,-13.471,51.214,-27.954
792205245,-0.7549,-0.5312,-1.2715,89.312,23.016,-43.335
792218245,-0.6743,0.0562,-0.7549,-20.978,41.021,-16.724
792231245,-0.6733,-0.2104,-0.9536,-36.115,46.819,-17.456
792244245,-0.6802,-0.2397,-0.8291,-37.458,67.693,-20.691
792257245,-0.6182,-0.1519,-0.7788,-46.003,63.909,-22.339
792270245,-0.6040,-0.1406,-0.6846,-48.261,52.740,-20.386
792283245,-0.6592,-0.1465,-0.6855,-45.453,38.946,-14.405
792296245,-0.7275,-0.1504,-0.7002,-45.698,33.575,-9.705
792309245,-0.7412,-0.1851,-0.7812,-42.646,39.373,-8.911
792322245,-0.6987,-0.2280,-0.7827,-46.430,45.294,-12.818
792335245,-0.6934,-0.2627,-0.7979,-47.590,44.378,-16.846
792348245,-0.6543,-0.1855,-0.7056,-42.829,39.129,-14.221
792361245,-0.6533,-0.1851,-0.6611,-38.923,26.678,-11.353
792374245,-0.6821,-0.2129,-0.6230,-30.683,12.151,-5.249
792387245,-0.7300,-0.2178,-0.6880,-22.504,6.292,0.366
792400245,-0.7446,-0.2441,-0.7500,-19.697,7.818,0.244
792413245,-0.7202,-0.2837,-0.7578,-23.908,10.992,-3.601
792426245,-0.7124,-0.3154,-0.7666,-24.152,12.945,-9.766
792439245,-0.6929,-0.2290,-0.6855,-22.687,9.466,-9.278
792452245,-0.7056,-0.2407,-0.6538,-21.772,0.433,-4.578
792465245,-0.8013,-0.4751,-0.6943,-17.682,-0.422,-9.217
792478245,-0.7310,-0.1870,-0.7056,-1.142,0.189,-10.987
792491245,-0.7515,-0.1499,-0.6943,-11.945,-3.229,-1.953
792504245,-0.7305,-0.2964,-0.6738,-7.123,-3.229,-0.733
792517245,-0.7393,-0.2319,-0.6714,-0.349,-7.441,-1.038
792530245,-0.7046,-0.2100,-0.6553,0.811,-9.821,2.014
792543245,-0.8022,-0.2178,-0.5767,0.689,-20.807,5.981
792556245,-0.7207,-0.2783,-0.6963,4.412,-24.653,5.859
792569245,-0.6865,-0.2910,-0.7729,2.764,-24.470,2.685
792582245,-0.6890,-0.2788,-0.7251,-7.673,-30.146,1.831
792595245,-0.6743,-0.2329,-0.7021,-10.969,-31.489,2.441
792608245,-0.6372,-0.2051,-0.6465,-1.569,-43.024,10.437
792621245,-0.5972,-0.2930,-0.5625,1.544,-62.922,13.977
792634245,-0.5605,-0.2095,-0.5376,4.351,-91.181,23.437
792647245,-0.6304,-0.1929,-0.5635,14.239,-111.628,33.142
792660245,-0.6914,-0.2109,-0.6543,24.981,-124.201,36.926
792673245,-0.6680,-0.2500,-0.7568,37.982,-124.750,36.010
792686245,-0.5879,-0.2817,-0.8315,48.724,-128.657,34.240
792699245,-0.5332,-0.2368,-0.7944,48.419,-131.342,32.043
792712245,-0.4551,-0.2627,-0.8257,48.419,-137.446,28.381
792725245,-0.4922,-0.2075,-0.8203,46.160,-142.267,26.367
792738245,-0.4902,-0.1445,-0.8682,55.743,-143.610,29.114
792751245,-0.4575,-0.2134,-0.8271,66.668,-145.380,28.259
792764245,-0.3296,-0.1104,-0.8203,85.833,-154.841,35.705
792777245,-0.2485,-0.0645,-0.9077,101.397,-159.540,45.349
792790245,-0.1826,-0.1382,-0.9854,110.674,-169.367,55.176
792803245,-0.2261,-0.3687,-0.9380,107.195,-170.893,44.250
792816245,-0.1284,-0.3120,-1.2715,97.430,-148.127,28.991
792829245,-0.1670,-0.2847,-1.3857,86.016,-131.037,12.756
792842245,-0.1738,-0.1528,-1.1689,62.396,-130.244,9.521
792855245,-0.1587,-0.0474,-0.9766,32.855,-141.840,9.216
792868245,-0.1772,0.0542,-0.8721,12.652,-148.493,14.099
792881245,-0.1812,-0.0361,-0.8965,9.966,-142.817,13.611
792894245,-0.0669,-0.0859,-0.9775,22.845,-127.497,12.817
792907245,0.0273,-0.1021,-1.1040,39.874,-118.281,6.164
792920245,0.0806,-0.1201,-1.2041,62.396,-89.167,-0.794
792933245,0.0474,-0.0366,-1.2617,57.086,-72.016,-3.906
792946245,-0.0479,-0.0513,-1.3750,-3.339,-100.580,8.117
792959245,0.1548,-0.1904,-1.3257,-27.387,-87.214,6.958
792972245,-0.0117,-0.0791,-1.1465,-9.016,-95.026,9.582
792985245,-0.1631,0.1162,-1.3042,60.198,-49.555,-5.493
792998245,-0.0513,0.0078,-1.1802,-6.330,-45.161,9.155
793011245,0.1465,-0.0728,-1.0786,-27.570,-42.414,-0.183
793024245,0.0923,-0.1499,-1.0493,-7.245,-52.607,-0.855
793037245,0.1533,-0.0483,-1.1514,1.483,-74.518,3.357
793050245,0.2358,-0.0430,-1.0903,-10.236,-95.392,9.216
793063245,0.2896,-0.0996,-1.0391,-12.922,-106.928,14.038
793076245,0.3003,-0.1040,-1.0044,-22.138,-122.187,14.770
793089245,0.2842,-0.0996,-1.0132,-31.599,-135.065,13.183
793102245,0.2700,-0.0933,-0.9829,-26.288,-143.732,11.291
793115245,0.3193,-0.0898,-1.0508,-16.218,-144.282,9.704
793128245,0.3604,-0.1689,-0.9932,-9.321,-134.577,1.587
793141245,0.3486,-0.1582,-0.9814,-8.710,-134.028,-5.921
793154245,0.2979,-0.1074,-1.0176,-15.790,-140.375,-7.324
793167245,0.3223,-0.1670,-1.1084,-1.691,-142.512,-8.118
793180245,0.3203,-0.1055,-0.9521,-39.228,-132.624,-13.367
793193245,0.3374,-0.0645,-0.9409,-39.228,-121.027,-13.184
793206245,0.3799,-0.0386,-0.9536,-30.988,-115.412,-4.944
793219245,0.3799,-0.1035,-0.9248,-15.058,-102.778,-2.625
793232245,0.4043,-0.0874,-0.9199,-1.569,-93.256,-0.244
793245245,0.3984,-0.1450,-0.9360,-0.471,-91.486,-3.479
793258245,0.4263,-0.0908,-0.9639,-7.368,-83.185,-3.113
793271245,0.5181,-0.1665,-0.9014,-18.537,-80.744,-5.554
793284245,0.5859,-0.1558,-0.8394,-31.660,-93.806,-5.799
793297245,0.5942,-0.1587,-0.8677,-40.571,-108.759,-6.165
793310245,0.5698,-0.1313,-0.9097,-44.172,-117.914,-1.465
793323245,0.5933,-0.1045,-0.8823,-49.238,-114.435,0.244
793336245,0.6050,-0.0288,-0.8271,-44.782,-109.919,8.545
793349245,0.6475,-0.1689,-0.8188,-36.481,-97.468,12.329
793362245,0.6787,-0.2310,-0.8193,-28.364,-89.533,6.714
793375245,0.7339,-0.2158,-0.7905,-32.453,-90.937,5.737
793388245,0.6924,-0.2607,-0.8638,-41.974,-97.773,-2.564
793401245,0.6895,-0.1948,-0.7876,-56.989,-102.473,-7.752
